"MIME Type","File Extension(s)"
"application/vnd.xmpie.dpkg",""
"application/vnd.xmpie.plan",""
"application/vnd.xmpie.ppkg",""
"application/vnd.xmpie.xlim",""
"application/vnd.yamaha.hv-dic",".hvd"
"application/vnd.yamaha.hv-script",".hvs"
"application/vnd.yamaha.hv-voice",".hvp"
"application/vnd.yamaha.openscoreformat",".osf"
"application/vnd.yamaha.openscoreformat.osfpvg+xml",".osfpvg"
"application/vnd.yamaha.remote-setup",""
"application/vnd.yamaha.smaf-audio",".saf"
"application/vnd.yamaha.smaf-phrase",".spf"
"application/vnd.yamaha.through-ngn",""
"application/vnd.yamaha.tunnel-udpencap",""
"application/vnd.yaoweme",""
"application/vnd.yellowriver-custom-menu",".cmp"
"application/vnd.youtube.yt",""
"application/vnd.zul",".zir,.zirz"
"application/vnd.zzazz.deck+xml",".zaz"
"application/voicexml+xml",".vxml"
"application/voucher-cms+json",""
"application/vq-rtcpxr",""
"application/wasm",".wasm"
"application/watcherinfo+xml",""
"application/webpush-options+json",""
"application/whoispp-query",""
"application/whoispp-response",""
"application/widget",".wgt"
"application/winhlp",".hlp"
"application/wita",""
"application/wordperfect5.1",""
"application/wsdl+xml",".wsdl"
"application/wspolicy+xml",".wspolicy"
"application/x-pkcs12",".p12,.pfx"
"application/x-pkcs7-certificates",".p7b,.spc"
"application/x-pkcs7-certreqresp",".p7r"
"application/x-pkcs7-mime",".p7m"
"application/x-pkcs7-signature",".p7s"
"application/x-www-form-urlencoded",""
"application/x-x509-ca-cert",".der,.crt,.pem"
"application/x-x509-next-ca-cert",""
"application/x400-bp",""
"application/xacml+xml",""
"application/xcap-att+xml",""
"application/xcap-caps+xml",""
"application/xcap-diff+xml",".xdf"
"application/xcap-el+xml",""
"application/xcap-error+xml",""
"application/xcap-ns+xml",""
"application/xcon-conference-info-diff+xml",""
"application/xcon-conference-info+xml",""
"application/xenc+xml",".xenc"
"application/xhtml+xml",".xhtml,.xht"
"application/xliff+xml",".xlf"
"application/xml",".xml,.xsl"
"application/xml-dtd",".dtd"
"application/xml-external-parsed-entity",""
"application/xml-patch+xml",""
"application/xmpp+xml",""
"application/xop+xml",".xop"
"application/xslt+xml",".xsl,.xslt"
"application/xv+xml",".mxml,.xhv,.xvm,.xvml"
"application/yaml",".yaml,.yml"
"application/yang",".yang"
"application/yang-data+cbor",""
"application/yang-data+json",""
"application/yang-data+xml",""
"application/yang-patch+json",""
"application/yang-patch+xml",""
"application/yang-sid+json",""
"application/yin+xml",".yin"
"application/zip",".zip"
"application/zlib",".zz"
"application/zstd",".zst"
"audio/1d-interleaved-parityfec",""
"audio/32kadpcm",""
"audio/3gpp",".3gpp,.3gp"
"audio/3gpp2",".3gpp2,.3gp2"
"audio/aac",".aac"
"audio/ac3",".ac3"
"audio/AMR",".amr"
"audio/AMR-WB",".awb"
"audio/amr-wb+",""
"audio/aptx",""
"audio/asc",""
"audio/ATRAC-ADVANCED-LOSSLESS",""
"audio/ATRAC-X",""
"audio/ATRAC3",""
"audio/basic",".au,.snd"
"audio/BV16",""
"audio/BV32",""
"audio/clearmode",""
"audio/CN",""
"audio/DAT12",""
"audio/dls",""
"audio/dsr-es201108",""
"audio/dsr-es202050",""
"audio/dsr-es202211",""
"audio/dsr-es202212",""
"audio/DV",""
"audio/DVI4",""
"audio/eac3",".ec3"
"audio/encaprtp",""
"audio/EVS",""
"audio/example",""
"audio/fwdred",""
"audio/G711-0",""
"audio/G719",""
"audio/G722",""
"audio/G7221",""
"audio/G723",""
"audio/G726-16",""
"audio/G726-24",""
"audio/G726-32",""
"audio/G726-40",""
"audio/G728",""
"audio/G729",""
"audio/G7291",""
"audio/G729D",""
"audio/G729E",""
"audio/GSM",""
"audio/GSM-EFR",""
" audio/GSM-HR-08",""
"audio/iLBC",".ilbc"
"audio/ip-mr_v2.5",""
"audio/L8",""
"audio/L16",""
"audio/L20",""
"audio/L24",""
"audio/LPC",""
"audio/matroska",".mka"
"audio/melp",""
"audio/melp1200",""
"audio/melp2400",""
"audio/melp600",""
"audio/mhas",".mhas"
"audio/mobile-xmf",".mxmf"
"audio/MPA",".mpa"
"audio/mp4",".mp4a,.m4a,.mp4"
"audio/MP4A-LATM",""
"audio/mpa-robust",""
"audio/mpeg",".mpga,.mp2,.mp2a,.mp3,.m2a,.m3a"
"audio/mpeg4-generic",""
"audio/ogg",".oga,.ogg,.spx"
"audio/opus",".opus"
"audio/parityfec",""
"audio/PCMA",""
"audio/PCMA-WB",""
"audio/PCMU",""
"audio/PCMU-WB",""
"audio/prs.sid",".sid"
"audio/QCELP",""
"audio/raptorfec",""
"audio/RED",""
"audio/rtp-enc-aescm128",""
"audio/rtp-midi",""
"audio/rtploopback",""
"audio/rtx",""
"audio/scip",""
"audio/SMV",""
"audio/SMV0",""
"audio/SMV-WB",""
"audio/sofa",".sofa"
"audio/sp-midi",""
"audio/speex",".spx"
"audio/t140c",""
"audio/t38",""
"audio/telephone-event",""
"audio/TETRA_ACELP",""
"audio/TETRA_ACELP_BB",""
"audio/tone",""
"audio/TSVCIS",""
"audio/UEMCLIP",""
"audio/ulpfec",""
"audio/usac",""
"audio/vdvi",""
"audio/VMR-WB",""
"audio/vnd.3gpp.iufp",""
"audio/vnd.4SB",""
"audio/vnd.audiokoz",""
"audio/vnd.CELP",""
"audio/vnd.cisco.nse",""
"audio/vnd.cmles.radio-events",""
"audio/vnd.cns.anp1",""
"audio/vnd.cns.inf1",""
"audio/vnd.dece.audio",".uva,.uvva"
"audio/vnd.digital-winds",".eol"
"audio/vnd.dlna.adts",""
"audio/vnd.dolby.heaac.1",""
"audio/vnd.dolby.heaac.2",""
"audio/vnd.dolby.mlp",""
"audio/vnd.dolby.mps",""
"audio/vnd.dolby.pl2",""
"audio/vnd.dolby.pl2x",""
"audio/vnd.dolby.pl2z",""
"audio/vnd.dolby.pulse.1",""
"audio/vnd.dra",".dra"
"audio/vnd.dts",".dts"
"audio/vnd.dts.hd",".dtshd"
"audio/vnd.dts.uhd",".dtsu"
"audio/vnd.dvb.file",""
"audio/vnd.everad.plj",""
"audio/vnd.hns.audio",""
"audio/vnd.lucent.voice",".lvp"
"audio/vnd.ms-playready.media.pya",".pya"
"audio/vnd.nokia.mobile-xmf",""
"audio/vnd.nortel.vbk",""
"audio/vnd.nuera.ecelp4800",".ecelp4800"
"audio/vnd.nuera.ecelp7470",".ecelp7470"
"audio/vnd.nuera.ecelp9600",".ecelp9600"
"audio/vnd.octel.sbc",""
"audio/vnd.presonus.multitrack",".multitrack"
"audio/vnd.qcelp",""
"audio/vnd.rhetorex.32kadpcm",""
"audio/vnd.rip",".rip"
"audio/vnd.sealedmedia.softseal.mpeg",""
"audio/vnd.vmx.cvsd",""
"audio/vorbis",".vorbis"
"audio/vorbis-config",""
"audio/wav",".wav"
"audio/wave",".wav"
"audio/webm",".weba"
"audio/x-aac",".aac"
"audio/x-aiff",".aif,.aiff,.aifc"
"audio/x-caf",".caf"
"audio/x-flac",".flac"
"audio/x-m4a",".m4a"
"audio/x-matroska",".mka"
"audio/x-mpegurl",".m3u"
"audio/x-ms-wax",".wax"
"audio/x-ms-wma",".wma"
"audio/x-pn-realaudio",".ram,.ra"
"audio/x-pn-realaudio-plugin",""
"audio/x-realaudio",".ra"
"audio/x-wav",".wav"
"audio/xm",".xm"
"image/aces",".exr"
"image/apng",".apng"
"image/avci",""
"image/avcs",""
"image/avif",".avif"
"image/bmp",".bmp"
"image/cgm",".cgm"
"image/dicom-rle",".drle"
"image/emf",".emf"
"image/example",""
"image/fits",".fits"
"image/g3fax",".g3"
"image/heic",".heic"
"image/heic-sequence",".heics"
"image/heif",".heif"
"image/heif-sequence",".heifs"
"image/hej2k",".hej2"
"image/hsj2",".hsj2"
"image/ief",".ief"
"image/jls",".jls"
"image/jp2",".jp2,.jpg2"
"image/jpeg",".jpeg,.jpg,.jpe"
"image/jph",".jph"
"image/jphc",".jhc"
"image/jpm",".jpm"
"image/jpx",".jpx,.jpf"
"image/jxr",".jxr"
"image/jxrA",".jxra"
"image/jxrS",".jxrs"
"image/jxs",".jxs"
"image/jxsc",".jxsc"
"image/jxsi",".jxsi"
"image/jxss",".jxss"
"image/ktx",".ktx"
"image/ktx2",".ktx2"
"image/naplps",""
"image/png",".png"
"image/prs.btif",".btif"
"image/prs.pti",".pti"
"image/pwg-raster",""
"image/svg+xml",".svg,.svgz"
"image/t38",".t38"
"image/tiff",".tiff,.tif"
"image/tiff-fx",".tfx"
"image/vnd.adobe.photoshop",".psd"
"image/vnd.airzip.accelerator.azv",".azv"
"image/vnd.cns.inf2",""
"image/vnd.dece.graphic",".uvi,.uvvi,.uvg,.uvvg"
"image/vnd.djvu",".djvu,.djv"
"image/vnd.dvb.subtitle",".sub"
"image/vnd.dwg",".dwg"
"image/vnd.dxf",".dxf"
"image/vnd.fastbidsheet",".fbs"
"image/vnd.fpx",".fpx"
"image/vnd.fst",".fst"
"image/vnd.fujixerox.edmics-mmr",".mmr"
"image/vnd.fujixerox.edmics-rlc",".rlc"
"image/vnd.globalgraphics.pgb",""
"image/vnd.microsoft.icon",".ico"
"image/vnd.mix",""
"image/vnd.mozilla.apng",".apng"
"image/vnd.ms-modi",".mdi"
"image/vnd.net-fpx",".npx"
"image/vnd.pco.b16",".b16"
"image/vnd.radiance",".hdr,.pic"
"image/vnd.sealed.png",""
"image/vnd.sealedmedia.softseal.gif",""
"image/vnd.sealedmedia.softseal.jpg",""
"image/vnd.svf",""
"image/vnd.tencent.tap",".tap"
"image/vnd.valve.source.texture",".vtf"
"image/vnd.wap.wbmp",".wbmp"
"image/vnd.xiff",".xif"
"image/vnd.zbrush.pcx",".pcx"
"image/webp",".webp"
"image/x-cmu-raster",".ras"
"image/x-cmx",".cmx"
"image/x-freehand",".fh,.fhc,.fh4,.fh5,.fh7"
"image/x-icon",".ico"
"image/x-jng",".jng"
"image/x-ms-bmp",".bmp"
"image/x-pcx",".pcx"
"image/x-pict",".pic,.pct"
"image/x-portable-anymap",".pnm"
"image/x-portable-bitmap",".pbm"
"image/x-portable-graymap",".pgm"
"image/x-portable-pixmap",".ppm"
"image/x-rgb",".rgb"
"image/x-tga",".tga"
"image/x-xbitmap",".xbm"
"image/x-xpixmap",".xpm"
"image/x-xwindowdump",".xwd"
"text/1d-interleaved-parityfec",""
"text/cache-manifest",".appcache,.manifest"
"text/calendar",".ics,.ifb"
"text/cql",""
"text/cql-expression",""
"text/cql-identifier",""
"text/css",".css"
"text/csv",".csv"
"text/csv-schema",""
"text/directory",".vcard,.vcf"
"text/dns",""
"text/ecmascript",".js,.es"
"text/encaprtp",""
"text/example",""
"text/fhirpath",""
"text/flexfec",""
"text/fwdred",""
"text/gff3",".gff3"
"text/grammar-ref-list",""
"text/html",".html,.htm"
"text/javascript",".js,.mjs"
"text/jcr-cnd",""
"text/jsx",".jsx"
"text/less",".less"
"text/markdown",".md,.markdown"
"text/mathml",".mml"
"text/mdx",".mdx"
"text/mizar",""
"text/n3",".n3"
"text/parameters",""
"text/parityfec",""
"text/plain",".txt,.text,.conf,.def,.list,.log,.in,.ini"
"text/provenance-notation",".provn"
"text/prs.fallenstein.rst",""
"text/prs.lines.tag",".dsc"
"text/prs.prop.logic",""
"text/raptorfec",""
"text/RED",""
"text/rfc822-headers",""
"text/rtf",".rtf"
"text/rtp-enc-aescm128",""
"text/rtploopback",""
"text/rtx",""
"text/SGML",".sgml,.sgm"
"text/shaclc",""
"text/shex",".shex"
"text/slim",".slim,.slm"
"text/spdx",".spdx"
"text/strings",""
"text/stylus",".styl,.stylus"
"text/t140",""
"text/tab-separated-values",".tsv"
"text/troff",".t,.tr,.roff,.man,.me,.ms"
"text/turtle",".ttl"
"text/ulpfec",""
"text/uri-list",".uri,.uris,.urls"
"text/vcard",".vcard,.vcf"
"text/vnd.a",""
"text/vnd.abc",".abc"
"text/vnd.ascii-art",""
"text/vnd.curl",".curl"
"text/vnd.debian.copyright",""
"text/vnd.DMClientScript",""
"text/vnd.dvb.subtitle",".sub"
"text/vnd.esmertec.theme-descriptor",""
"text/vnd.familysearch.gedcom",".ged"
"text/vnd.ficlab.flt",""
"text/vnd.fly",".fly"
"text/vnd.fmi.flexstor",".flx"
"text/vnd.gml",""
"text/vnd.graphviz",".gv,.dot"
"text/vnd.hans",""
"text/vnd.hgl",""
"text/vnd.in3d.3dml",".3dml"
"text/vnd.in3d.spot",".spot"
"text/vnd.IPTC.NewsML",""
"text/vnd.IPTC.NITF",""
"text/vnd.latex-z",""
"text/vnd.motorola.reflex",""
"text/vnd.ms-mediapackage",""
"text/vnd.net2phone.commcenter.command",""
"text/vnd.radisys.msml-basic-layout",""
"text/vnd.senx.warpscript",".mc2"
"text/vnd.si.uricatalogue",""
"text/vnd.sun.j2me.app-descriptor",".jad"
"text/vnd.trolltech.linguist",""
"text/vnd.wap.si",""
"text/vnd.wap.sl",""
"text/vnd.wap.wml",".wml"
"text/vnd.wap.wmlscript",".wmls"
"text/vtt",".vtt"
"text/x-asm",".s,.asm"
"text/x-c",".c,.cc,.cxx,.cpp,.h,.hh,.dic"
"text/x-component",".htc"
"text/x-fortran",".f,.for,.f77,.f90"
"text/x-gwt-rpc",""
"text/x-handlebars-template",".hbs"
"text/x-java-source",".java"
"text/x-jquery-tmpl",""
"text/x-lua",".lua"
"text/x-makefile",".mk,.mak"
"text/x-markdown",".md,.markdown"
"text/x-nfo",".nfo"
"text/x-opml",".opml"
"text/x-org",".org"
"text/x-pascal",".p,.pas"
"text/x-perl",".pl,.pm"
"text/x-python",".py"
"text/x-scala",".scala"
"text/x-setext",".etx"
"text/x-sfv",".sfv"
"text/x-uuencode",".uu"
"text/x-vcalendar",".vcs"
"text/x-vcard",".vcf"
"text/xml",".xml"
"text/xml-external-parsed-entity",""
"video/1d-interleaved-parityfec",""
"video/3gpp",".3gp,.3gpp"
"video/3gpp2",".3g2,.3gp2"
"video/3gpp-tt",""
"video/AV1",".av1"
"video/BMPEG",""
"video/BT656",""
"video/CelB",""
"video/DV",".dv"
"video/encaprtp",""
"video/evc",".evc"
"video/example",""
"video/FFV1",".ffv"
"video/flexfec",""
"video/H261",".h261"
"video/H263",".h263"
"video/H263-1998",""
"video/H263-2000",""
"video/H264",".h264,.avc"
"video/H264-RCDO",""
"video/H264-SVC",""
"video/H265",".h265,.hevc"
"video/iso.segment",".m4s"
"video/jpeg",".jpgv"
"video/jpeg2000",".jp2,.jpx"
"video/jpm",".jpm"
"video/mj2",".mj2,.mjp2"
"video/mp1s",""
"video/mp2p",""
"video/mp2t",".ts,.m2ts"
"video/mp4",".mp4,.mp4v,.mpg4"
"video/mp4v-es",""
"video/mpeg",".mpeg,.mpg,.mpe,.m1v,.m2v"
"video/mpeg4-generic",""
"video/nv",""
"video/ogg",".ogv"
"video/parityfec",""
"video/pointer",""
"video/quicktime",".qt,.mov"
"video/raptorfec",""
"video/raw",""
"video/rtp-enc-aescm128",""
"video/rtploopback",""
"video/rtx",""
"video/scip",""
"video/smpte291",""
"video/ulpfec",""
"video/vc1",".vc1"
"video/vc2",""
"video/vnd.CCTV",""
"video/vnd.dece.hd",".uvh,.uvvh"
"video/vnd.dece.mobile",".uvm,.uvvm"
"video/vnd.dece.mp4",""
"video/vnd.dece.pd",".uvp,.uvvp"
"video/vnd.dece.sd",".uvs,.uvvs"
"video/vnd.dece.video",".uvv,.uvvv"
"video/vnd.directv.mpeg",""
"video/vnd.directv.mpeg-tts",""
"video/vnd.dlna.mpeg-tts",""
"video/vnd.dvb.file",".dvb"
"video/vnd.fvt",".fvt"
"video/vnd.hns.video",""
"video/vnd.iptvforum.1dparityfec-1010",""
"video/vnd.iptvforum.1dparityfec-2005",""
"video/vnd.iptvforum.2dparityfec-1010",""
"video/vnd.iptvforum.2dparityfec-2005",""
"video/vnd.iptvforum.ttsavc",""
"video/vnd.iptvforum.ttsmpeg2",""
"video/vnd.motorola.video",""
"video/vnd.motorola.videop",""
"video/vnd.mpegurl",".mxu,.m4u"
"video/vnd.ms-playready.media.pyv",".pyv"
"video/vnd.nokia.interleaved-multimedia",""
"video/vnd.nokia.mp4vr",""
"video/vnd.nokia.videovoip",""
"video/vnd.objectvideo",""
"video/vnd.radgamettools.bink",".bik"
"video/vnd.radgamettools.smacker",".smk"
"video/vnd.sealed.mpeg1",""
"video/vnd.sealed.mpeg4",""
"video/vnd.sealed.swf",""
"video/vnd.sealedmedia.softseal.mov",""
"video/vnd.uvvu.mp4",".uvu,.uvvu"
"video/vnd.vivo",".viv"
"video/vnd.youtube.yt",""
"video/webm",".webm"
"video/x-f4v",".f4v"
"video/x-fli",".fli"
"video/x-flv",".flv"
"video/x-m4v",".m4v"
"video/x-matroska",".mkv,.mk3d,.mks"
"video/x-mng",".mng"
"video/x-ms-asf",".asf,.asx"
"video/x-ms-vob",".vob"
"video/x-ms-wm",".wm"
"video/x-ms-wmv",".wmv"
"video/x-ms-wmx",".wmx"
"video/x-ms-wvx",".wvx"
"video/x-msvideo",".avi"
"video/x-sgi-movie",".movie"
"video/x-smv",".smv"
"font/collection",".ttc"
"font/otf",".otf"
"font/sfnt",""
"font/ttf",".ttf"
"font/woff",".woff"
"font/woff2",".woff2"
"model/3mf",".3mf"
"model/e57",".e57"
"model/gltf+json",".gltf"
"model/gltf-binary",".glb"
"model/iges",".igs,.iges"
"model/mesh",".msh,.mesh,.silo"
"model/mtl",".mtl"
"model/obj",".obj"
"model/step",".step,.stp"
"model/step+xml",".stpx"
"model/step+zip",".stpz"
"model/step-xml+zip",".stpxz"
"model/stl",".stl"
"model/vnd.collada+xml",".dae"
"model/vnd.dwf",".dwf"
"model/vnd.flatland.3dml",".3dml"
"model/vnd.gdl",".gdl"
"model/vnd.gs-gdl",""
"model/vnd.gtw",".gtw"
"model/vnd.moml+xml",".moml"
"model/vnd.mts",".mts"
"model/vnd.opengex",".ogex"
"model/vnd.parasolid.transmit.binary",".x_b"
"model/vnd.parasolid.transmit.text",".x_t"
"model/vnd.pytha.pyox",".pyox"
"model/vnd.rosetta stone.spr",".spr"
"model/vnd.sap.vds",".vds"
"model/vnd.usdz+zip",".usdz"
"model/vnd.valve.source.compiled-map",".bsp"
"model/vnd.vtu",".vtu"
"model/vrml",".wrl,.vrml"
"model/x3d+fastinfoset",".x3db"
"model/x3d+vrml",".x3dv"
"model/x3d+xml",".x3d"
"model/x3d-vrml",".x3dv"
"multipart/mixed",""
"multipart/alternative",""
"multipart/related",""
"multipart/form-data",""
"multipart/signed",""
"multipart/encrypted",""
"multipart/byteranges",""
"multipart/x-mixed-replace",""
